Year,Time period,Local Government Area,Covid-19 cases
2020,Jan - June,Greater Geelong (C),71
2020,July - Dec,Greater Geelong (C),298
2021,Jan - June,Greater Geelong (C),0
2020,Jan - June,Mornington Peninsula (S),61
2020,July - Dec,Mornington Peninsula (S),124
2021,Jan - June,Mornington Peninsula (S),0
2020,Jan - June,Port Phillip (C),56
2020,July - Dec,Port Phillip (C),241
2021,Jan - June,Port Phillip (C),8
2020,Jan - June,Whittlesea (C),66
2020,July - Dec,Whittlesea (C),1116
2021,Jan - June,Whittlesea (C),26
2020,Jan - June,Casey (C),113
2020,July - Dec,Casey (C),950
2021,Jan - June,Casey (C),2
2020,Jan - June,Monash (C),56
2020,July - Dec,Monash (C),298
2021,Jan - June,Monash (C),2
2020,Jan - June,Melbourne (C),91
2020,July - Dec,Melbourne (C),830
2021,Jan - June,Melbourne (C),23
2020,Jan - June,Glen Eira (C),56
2020,July - Dec,Glen Eira (C),168
2021,Jan - June,Glen Eira (C),5
2020,Jan - June,Hume (C),180
2020,July - Dec,Hume (C),1462
2021,Jan - June,Hume (C),12
2020,Jan - June,Bayside (C),32
2020,July - Dec,Bayside (C),237
2021,Jan - June,Bayside (C),8
2020,Jan - June,Maribyrnong (C),30
2020,July - Dec,Maribyrnong (C),549
2021,Jan - June,Maribyrnong (C),5
2020,Jan - June,Stonnington (C),96
2020,July - Dec,Stonnington (C),155
2021,Jan - June,Stonnington (C),2
2020,Jan - June,Brimbank (C),129
2020,July - Dec,Brimbank (C),1901
2021,Jan - June,Brimbank (C),3
2020,Jan - June,Wyndham (C),75
2020,July - Dec,Wyndham (C),2168
2021,Jan - June,Wyndham (C),4
2020,Jan - June,Frankston (C),42
2020,July - Dec,Frankston (C),199
2021,Jan - June,Frankston (C),0
2020,Jan - June,Yarra Ranges (S),27
2020,July - Dec,Yarra Ranges (S),225
2021,Jan - June,Yarra Ranges (S),0
2020,Jan - June,Hobsons Bay (C),28
2020,July - Dec,Hobsons Bay (C),489
2021,Jan - June,Hobsons Bay (C),6
2020,Jan - June,Moonee Valley (C),80
2020,July - Dec,Moonee Valley (C),734
2021,Jan - June,Moonee Valley (C),2
2020,Jan - June,Whitehorse (C),25
2020,July - Dec,Whitehorse (C),182
2021,Jan - June,Whitehorse (C),5
2020,Jan - June,Macedon Ranges (S),10
2020,July - Dec,Macedon Ranges (S),48
2021,Jan - June,Macedon Ranges (S),0
2020,Jan - June,Cardinia (S),20
2020,July - Dec,Cardinia (S),187
2021,Jan - June,Cardinia (S),0
2020,Jan - June,Kingston (C),32
2020,July - Dec,Kingston (C),271
2021,Jan - June,Kingston (C),8
2020,Jan - June,Yarra (C),43
2020,July - Dec,Yarra (C),401
2021,Jan - June,Yarra (C),0
2020,Jan - June,Interstate,74
2020,July - Dec,Interstate,32
2021,Jan - June,Interstate,0
2020,Jan - June,Maroondah (C),16
2020,July - Dec,Maroondah (C),90
2021,Jan - June,Maroondah (C),2
2020,Jan - June,Banyule (C),95
2020,July - Dec,Banyule (C),356
2021,Jan - June,Banyule (C),1
2020,Jan - June,Boroondara (C),80
2020,July - Dec,Boroondara (C),187
2021,Jan - June,Boroondara (C),3
2020,Jan - June,Surf Coast (S),5
2020,July - Dec,Surf Coast (S),7
2021,Jan - June,Surf Coast (S),0
2020,Jan - June,Hepburn (S),2
2020,July - Dec,Hepburn (S),1
2021,Jan - June,Hepburn (S),0
