Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2021,June,1 North West Metro, Banyule,"8,485","6,455.5"
2021,June,1 North West Metro, Brimbank,"19,226","9,478.4"
2021,June,1 North West Metro, Darebin,"14,726","8,931.4"
2021,June,1 North West Metro, Hobsons Bay,"5,592","5,744.0"
2021,June,1 North West Metro, Hume,"20,775","8,460.1"
2021,June,1 North West Metro, Maribyrnong,"8,842","9,414.0"
2021,June,1 North West Metro, Melbourne,"35,766","21,355.9"
2021,June,1 North West Metro, Melton,"13,542","7,530.9"
2021,June,1 North West Metro, Moonee Valley,"7,932","6,064.6"
2021,June,1 North West Metro, Moreland,"12,861","6,877.0"
2021,June,1 North West Metro, Nillumbik,"2,358","3,635.3"
2021,June,1 North West Metro, Whittlesea,"15,785","6,630.3"
2021,June,1 North West Metro, Wyndham,"17,428","5,996.1"
2021,June,1 North West Metro, Yarra,"13,323","13,210.4"
2021,June,1 North West Metro,Total,"196,641","8,566.2"
2021,June,2 Eastern, Alpine,531,"4,053.9"
2021,June,2 Eastern, Bass Coast,"3,164","8,199.7"
2021,June,2 Eastern, Baw Baw,"4,873","8,668.2"
2021,June,2 Eastern, Benalla,"1,474","10,365.7"
2021,June,2 Eastern, Boroondara,"7,267","4,080.3"
2021,June,2 Eastern, East Gippsland,"5,086","10,558.2"
2021,June,2 Eastern, Greater Shepparton,"9,672","14,374.1"
2021,June,2 Eastern, Indigo,622,"3,633.6"
2021,June,2 Eastern, Knox,"11,074","6,740.0"
2021,June,2 Eastern, Latrobe,"12,745","16,713.2"
2021,June,2 Eastern, Manningham,"4,668","3,663.3"
2021,June,2 Eastern, Mansfield,567,"5,914.3"
2021,June,2 Eastern, Maroondah,"7,965","6,700.5"
2021,June,2 Eastern, Mitchell,"5,138","10,585.7"
2021,June,2 Eastern, Moira,"2,438","8,137.2"
2021,June,2 Eastern, Monash,"12,713","6,411.1"
2021,June,2 Eastern, Murrindindi,919,"6,158.3"
2021,June,2 Eastern, South Gippsland,"1,907","6,245.3"
